trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
729,2,-6,62,1,normal,00000000,167753fc2f2cc3e28981cf63d0e9085d,0xfc537716,0xe2c32c2f,0x63cf8189,0x5d08e9d0,002800401960805e,002800401960805e,0,,
730,2,-6,62,1,fault,00000000,573978a602a01f4baed85bd40e376f95,0xa6783957,0x4b1fa002,0xd45bd8ae,0x956f370e,02200f0102a92b40,0080104a080f331a,8,0;1;2;3;4;5;6;7,02;a0;1f;4b;0a;a6;18;5a
731,2,-6,62,1,fault,00000000,444fcc87a139b5ee0f4af1716dff7eb2,0x87cc4f44,0xeeb539a1,0x71f14a0f,0xb27eff6d,213934a2410d3de3,213934a20108b160,4,4;5;6;7,40;05;8c;83
732,2,-6,62,1,normal,00000000,70e6eb504064d07a679ace93547645ae,0x50ebe670,0x7ad06440,0x93ce9a67,0xae457654,4064402a70e44b02,4064402a70e44b02,0,,
733,2,-6,62,1,fault,00000000,ffe005ce4d4700afaf39cda82fbeb4e2,0xce05e0ff,0xaf00474d,0xa8cd39af,0xe2b4be2f,0d0600a28d8101e2,0d0600a20d0100a8,4,4;5;6;7,80;80;01;4a
734,2,-6,62,1,normal,00000000,dfc6c7eb180dc6c6bfa9e8a8b34eee39,0xebc7c6df,0xc6c60d18,0xa8e8a9bf,0x39ee4eb3,100cc60014cfc601,100cc60014cfc601,0,,
735,2,-6,62,1,fault,00000000,0e73dc6186b886e76683f287dee18002,0x61dc730e,0xe786b886,0x87f28366,0x0280e1de,86a080020ee2d286,86a0800206808287,4,4;5;6;7,08;62;50;01
736,2,-6,62,1,normal,00000000,61b55765690091d12c2dcb25c2159759,0x6557b561,0xd1910069,0x25cb2d2c,0x599715c2,400091514830d565,400091514830d565,0,,
737,2,-6,62,1,normal,00000000,855b373f6bb9668bd99a4f7d60b6e43c,0x3f375b85,0x8b66b96b,0x7d4f9ad9,0x3ce4b660,60b06408c8906508,60b06408c8906508,0,,
738,2,-6,62,1,fault,00000000,333b1e55304fcd7b7dc9464279128181,0x551e3b33,0x7bcd4f30,0x4246c97d,0x81811279,3002810130524203,004d4c7a481d0ef8,8,0;1;2;3;4;5;6;7,30;4f;cd;7b;78;4f;4c;fb
739,2,-6,62,1,normal,00000000,dc051a1d69c4c5ca203d9920d67e2c69,0x1d1a05dc,0xcac5c469,0x20993d20,0x692c7ed6,40440448f4059109,40440448f4059109,0,,
740,2,-6,62,1,fault,00000000,02a5ececf4ddd3d2504b2b45a8cd9448,0xececa502,0xd2d3ddf4,0x452b4b50,0x4894cda8,a0cd904050cdaf4c,a0cd904050490340,3,5;6;7,84;ac;0c
741,2,-6,62,1,fault,00000000,007e5437af9e499bf3134f15600b64e9,0x37547e00,0x9b499eaf,0x154f13f3,0xe9640b60,200a4089a30a4925,200a4089a3124911,2,5;7,18;34
742,2,-6,62,1,normal,00000000,be0a5954f43aa06b0985100251dbf121,0x54590abe,0x6ba03af4,0x02108509,0x21f1db51,501aa021180a4102,501aa021180a4102,0,,
743,2,-6,62,1,fault,00000000,6d7d39d95cb33e54e885dda5f42a1579,0xd9397d6d,0x543eb35c,0xa5dd85e8,0x79152af4,5422145044ac14dc,5422145048811c04,4,4;5;6;7,0c;2d;08;d8
744,2,-6,62,1,fault,00000000,8b54df545a6dd528e91529e8f127104c,0x54df548b,0x28d56d5a,0xe82915e9,0x4c1027f1,502510084015182c,0a48c5207269f4a8,8,0;1;2;3;4;5;6;7,5a;6d;d5;28;32;7c;ec;84
745,2,-6,62,1,normal,00000000,cb9bec025a193c3859731279ea1773c1,0x02ec9bcb,0x383c195a,0x79127359,0xc17317ea,4a113000db117038,4a113000db117038,0,,
746,2,-6,62,1,fault,00000000,44f0decc9858409adaea878b70f59c22,0xccdef044,0x9a405898,0x8b87eada,0x229cf570,1050000298581a02,105000029848008a,3,5;6;7,10;1a;88
747,2,-6,62,1,fault,00000000,4462fe9c9f973d4492bf0ae151ef4a1b,0x9cfe6244,0x443d979f,0xe10abf92,0x1b4aef51,11870800d2d748d8,1187080092970840,4,4;5;6;7,40;40;40;98
748,2,-6,62,1,fault,00000000,b1531e79df203cf093ea9deb12a32515,0x791e53b1,0xf03c20df,0xeb9dea93,0x1525a312,1220241012610498,1220241093201ce0,4,4;5;6;7,81;41;18;78
749,2,-6,62,1,fault,00000000,bdff96caeee6bfafa2ffb0f47517247c,0xca96ffbd,0xafbfe6ee,0xf4b0ffa2,0x7c241775,6406242c370e242c,8ae09b834e002f3f,8,0;1;2;3;4;5;6;7,ee;e6;bf;af;79;0e;0b;13
750,2,-6,62,1,normal,00000000,36e7e44a66ba9026efefdd39586402f8,0x4ae4e736,0x2690ba66,0x39ddefef,0xf8026458,4020002050295460,4020002050295460,0,,
751,2,-6,62,1,normal,00000000,3ca2df7235e99e65594cca28e8adeaa4,0x72dfa23c,0x659ee935,0x28ca4c59,0xa4eaade8,20a98a2421e88a20,20a98a2421e88a20,0,,
752,2,-6,62,1,fault,00000000,2ed1090ff1481bb828d13ce90a495017,0x0f09d12e,0xb81b48f1,0xe93cd128,0x1750490a,0048101002d010a6,00481010204018a8,4,4;5;6;7,22;90;08;0e
753,2,-6,62,1,normal,00000000,0f723dc1772094a186adf5c39b3be8b8,0xc13d720f,0xa1942077,0xc3f5ad86,0xb8e83b9b,132080a00b3289c0,132080a00b3289c0,0,,
754,2,-6,62,1,fault,00000000,e4d6d586f33445f9bdfa3010b9715890,0x86d5d6e4,0xf94534f3,0x1030fabd,0x905871b9,b1304090b5b24090,b1304090b1300010,4,4;5;6;7,04;82;40;80
755,2,-6,62,1,normal,00000000,eef669a361b4f5dff9d83ca8982feff4,0xa369f6ee,0xdff5b461,0xa83cd8f9,0xf4ef2f98,0024e5d401667588,0024e5d401667588,0,,
756,2,-6,62,1,normal,00000000,9ae7cca2d2b58771e5173c831d24123e,0xa2cce79a,0x7187b5d2,0x833c17e5,0x3e12241d,10240230583608a1,10240230583608a1,0,,
757,2,-6,62,1,fault,00000000,08acedd6db20151f4189dc677a33e5b2,0xd6edac08,0x1f1520db,0x67dc8941,0xb2e5337a,5a20051249a83dd3,5a20051241001407,4,4;5;6;7,08;a8;29;d4
758,2,-6,62,1,fault,00000000,48e9cc66f5dde5ba06856b717be0865d,0x66cce948,0xbae5ddf5,0x716b8506,0x5d86e07b,71c084184ce4ad14,71c0841804856130,4,4;5;6;7,48;61;cc;24
759,2,-6,62,1,fault,00000000,d2a3954a915d38463dd9738dcb7ba0d1,0x4a95a3d2,0x46385d91,0x8d73d93d,0xd1a07bcb,81592040c3fba14c,10041806bc0d5ac3,8,0;1;2;3;4;5;6;7,91;5d;38;46;7f;f6;fb;8f
760,2,-6,62,1,normal,00000000,35f88e0e086b44eb5baa4b8095abd478,0x0e8ef835,0xeb446b08,0x804baa5b,0x78d4ab95,002b44680c2ace88,002b44680c2ace88,0,,
761,2,-6,62,1,normal,00000000,65f0807e3e9629f012caead58243c8dc,0x7e80f065,0xf029963e,0xd5eaca12,0xdcc84382,020208d0120228d8,020208d0120228d8,0,,
762,2,-6,62,1,normal,00000000,e9ef050b38de2955aa53269c99734d7f,0x0b05efe9,0x5529de38,0x9c2653aa,0x7f4d7399,1852095509722117,1852095509722117,0,,
763,2,-6,62,1,fault,00000000,232f60f7b9d914cb5ffbe84db43c9da1,0xf7602f23,0xcb14d9b9,0x4de8fb5f,0xa19d3cb4,b01814813ade60ad,b018148119d90049,4,4;5;6;7,23;07;60;e4
764,2,-6,62,1,normal,00000000,7d7894c06e825d92be20cf0c4854190d,0xc094787d,0x925d826e,0x0ccf20be,0x0d195448,480019005a70d900,480019005a70d900,0,,
765,2,-6,62,1,normal,00000000,91f3b508edf30b6c513dc2253153bf99,0x08b5f391,0x6c0bf3ed,0x25c23d51,0x99bf5331,21530b084153372c,21530b084153372c,0,,
766,2,-6,62,1,fault,00000000,ac28e9a3c25eaac1c5baa165b30b3081,0xa3e928ac,0xc1aa5ec2,0x65a1bac5,0x81300bb3,820a2081e43a21e1,40548a4083ccaa85,8,0;1;2;3;4;5;6;7,c2;5e;aa;c1;67;f6;8b;64
767,2,-6,62,1,fault,00000000,d8bae17d475396113774eae4bceff399,0x7de1bad8,0x11965347,0xe4ea7437,0x99f3efbc,044392118fca837d,43100400ecdc07ec,8,0;1;2;3;4;5;6;7,47;53;96;11;63;16;84;91
768,2,-6,62,1,fault,00000000,32e9f0af3134abca162c0da9eb887604,0xaff0e932,0xcaab3431,0xa90d2c16,0x047688eb,2100220020847925,2100220010240988,4,4;5;6;7,30;a0;70;ad
769,2,-6,62,1,normal,00000000,6c1b2639c333936d343bfb4b8055b71e,0x39261b6c,0x6d9333c3,0x4bfb3b34,0x1eb75580,8011930c24399758,8011930c24399758,0,,
770,2,-6,62,1,fault,00000000,dec3edc6d0b643d2169a0092ceec81b2,0xc6edc3de,0xd243b6d0,0x92009a16,0xb281ecce,c0a40192c8d08192,c0a4019210920092,3,4;5;6,d8;42;81
771,2,-6,62,1,fault,00000000,fd251bb674d904adc52e9ba9c230fd5e,0xb61b25fd,0xad04d974,0xa99b2ec5,0x5efd30c2,4010040c410c021f,4010040c440800a9,4,4;5;6;7,05;04;02;b6
772,2,-6,62,1,fault,00000000,c51f336cbcd3e3b7a9feab15f245fb5a,0x6c331fc5,0xb7e3d3bc,0x15abfea9,0x5afb45f2,b041e312e9c9b359,b041e312a8d2a315,4,4;5;6;7,41;1b;10;4c
773,2,-6,62,1,normal,00000000,63cbd4a3a24c3c57495634ed70f79816,0xa3d4cb63,0x573c4ca2,0xed345649,0x1698f770,2044181621c5b0e6,2044181621c5b0e6,0,,
774,2,-6,62,1,fault,00000000,919c4eaa7f2ff72bdb1db8106b5477e8,0xaa4e9c91,0x2bf72f7f,0x10b81ddb,0xe877546b,6b047728cb05fea8,6b0477285b0db000,4,4;5;6;7,90;08;4e;a8
775,2,-6,62,1,normal,00000000,6722ce3172fd69bc72dacedc5b7ae436,0x31ce2267,0xbc69fd72,0xdcceda72,0x36e47a5b,5278603453f842bc,5278603453f842bc,0,,
776,2,-6,62,1,fault,00000000,14753dfdbef8032a53fb5a6afc9d2b7e,0xfd3d7514,0x2a03f8be,0x6a5afb53,0x7e2b9dfc,bc98032a169c333e,bc98032a12f8022a,4,4;5;6;7,04;64;31;14
777,2,-6,62,1,normal,00000000,314eece82ff751875de7125f00cba2f1,0xe8ec4e31,0x8751f72f,0x5f12e75d,0xf1a2cb00,00c300811cebb0af,00c300811cebb0af,0,,
778,2,-6,62,1,fault,00000000,af2b0c5ff8cd6d625e9b486f3fddfe96,0x5f0c2baf,0x626dcdf8,0x6f489b5e,0x96fedd3f,38cd6c02798b4c3b,38cd6c0258894862,4,4;5;6;7,21;02;04;59
779,2,-6,62,1,fault,00000000,683989bcb8347fb1a6d8080f0c883462,0xbc893968,0xb17f34b8,0x0f08d8a6,0x6234880c,080034208800002d,08003420a0100801,4,4;5;6;7,28;10;08;2c
780,2,-6,62,1,normal,00000000,19713f5a4ff0b714e3619ab3ee5cda96,0x5a3f7119,0x14b7f04f,0xb39a61e3,0x96da5cee,4e5092144a519210,4e5092144a519210,0,,
781,2,-6,62,1,fault,00000000,90d5f118c146346ecd202cd603d21ea5,0x18f1d590,0x6e3446c1,0xd62c20cd,0xa51ed203,0142142441d01456,01421424a0002010,4,4;5;6;7,e1;d0;34;46
782,2,-6,62,1,fault,00000000,055dfef62b9536524a7ba22f1b302ea0,0xf6fe5d05,0x5236952b,0x2fa27b4a,0xa02e301b,0b1026000b58ae84,0b1026000a112202,4,4;5;6;7,01;49;8c;86
783,2,-6,62,1,fault,00000000,aeee0fbaa817c5186c87852199583644,0xba0feeae,0x18c517a8,0x2185876c,0x44365899,881004008cc98620,8810040028078500,4,4;5;6;7,a4;ce;03;20
