trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
767,2,-6,62,1,fault,00000000,20578981af905e1b36ecef1d667946bb,0x81895720,0x1b5e90af,0x1defec36,0xbb467966,2610461b2695c799,2610461b26804e19,3,5;6;7,15;89;80
768,2,-6,62,1,fault,00000000,ff0c732aa17d9cc6189693efcf195cc4,0x2a730cff,0xc69c7da1,0xef939618,0xc45c19cf,81191cc4d718d3ec,81191cc4001490c6,4,4;5;6;7,d7;0c;43;2a
769,2,-6,62,1,fault,00000000,d174e574aa1b63528bf4514c02376244,0x74e574d1,0x52631baa,0x4c51f48b,0x44623702,021362400b506040,021362408a104140,3,4;5;6,81;40;21
770,2,-6,62,1,fault,00000000,8a7434be1eedc4632b93bce90381d0a3,0xbe34748a,0x63c4ed1e,0xe9bc932b,0xa3d08103,0281c0230291a06b,0281c0230a818461,4,4;5;6;7,08;10;24;0a
771,2,-6,62,1,fault,00000000,c7f47fef6000ce6a159eb160c02225b7,0xef7ff4c7,0x6ace0060,0x60b19e15,0xb72522c0,40000422c5b494a7,4000042200008060,4,4;5;6;7,c5;b4;14;c7
772,2,-6,62,1,fault,00000000,3e84e5306969c1512274923258759c98,0x30e5843e,0x51c16969,0x32927422,0x989c7558,486180101a608430,4861801020608010,3,4;6;7,3a;04;20
773,2,-6,62,1,fault,00000000,251e7287b9c721e54a96b7db309c21e0,0x87721e25,0xe521c7b9,0xdbb7964a,0xe0219c30,308421e0288c33c2,89430005f347a4bd,8,0;1;2;3;4;5;6;7,b9;c7;21;e5;db;cb;97;7f
774,2,-6,62,1,normal,00000000,17fd7173ae0bb2ccff65d8d13ad448c0,0x7371fd17,0xccb20bae,0xd1d865ff,0xc048d43a,2a0000c0abb080d1,2a0000c0abb080d1,0,,
775,2,-6,62,1,fault,00000000,5a198e2e02293127d2fae4f41c34bf81,0x2e8e195a,0x27312902,0xf4e4fad2,0x81bf341c,0020310148202a00,0209002680e371d3,8,0;1;2;3;4;5;6;7,02;29;31;27;c8;c3;5b;d3
776,2,-6,62,1,fault,00000000,d72e48c1982accf503cd34ef18523c17,0xc1482ed7,0xf5cc2a98,0xef34cd03,0x173c5218,18020c1513060c25,8028c0e098e3fc3e,8,0;1;2;3;4;5;6;7,98;2a;cc;f5;8b;e5;f0;1b
777,2,-6,62,1,fault,00000000,de49dc66c1bd15b4c5b4204a5543be67,0x66dc49de,0xb415bdc1,0x4a20b4c5,0x67be4355,4101142451f59c24,80bc019001bd35bc,8,0;1;2;3;4;5;6;7,c1;bd;15;b4;50;48;a9;98
778,2,-6,62,1,fault,00000000,b9e8a89c5753f3f4b562c0dd9b389240,0x9ca8e8b9,0xf4f35357,0xddc062b5,0x4092389b,131092403d0ac048,444361b4684921fc,8,0;1;2;3;4;5;6;7,57;53;f3;f4;55;43;e1;b4
779,2,-6,62,1,fault,00000000,d2272154c7b0d0557c6574815a9a9773,0x542127d2,0x55d0b0c7,0x8174657c,0x73979a5a,4290905146077151,4290905144205001,4,4;5;6;7,02;27;21;50
780,2,-6,62,1,fault,00000000,a1300ae5113831f10539cb21e206ecbb,0xe50a30a1,0xf1313811,0x21cb3905,0xbbec06e2,000020b1a00803a1,000020b101380121,4,4;5;6;7,a1;30;02;80
781,2,-6,62,1,normal,00000000,8ec66c134cd50bb7ecc1b1a8c62b6b5b,0x136cc68e,0xb70bd54c,0xa8b1c1ec,0x5b6b2bc6,44010b13460349b3,44010b13460349b3,0,,
782,2,-6,62,1,normal,00000000,370467868620952a30fc7f957f7cc9ef,0x86670437,0x2a952086,0x957ffc30,0xefc97c7f,0620812a07203302,0620812a07203302,0,,
783,2,-6,62,1,fault,00000000,6fcd0d29d6817808076513b98e5af8ee,0x290dcd6f,0x087881d6,0xb9136507,0xeef85a8e,860078080f0c1909,8600780806011008,4,4;5;6;7,09;0d;09;01
784,2,-6,62,1,normal,00000000,2a47ab1d24bf8c0e0117bc94776b5cd9,0x1dab472a,0x0e8cbf24,0x94bc1701,0xd95c6b77,242b0c0822532c09,242b0c0822532c09,0,,
785,2,-6,62,1,fault,00000000,e31519b02d7773b2c889557d335ce28a,0xb01915e3,0xb273772d,0x7d5589c8,0x8ae25c33,21546282eb144080,2154628208015130,4,4;5;6;7,e3;15;11;b0
786,2,-6,62,1,fault,00000000,b1552ed752eb1bcf65ecea4af895a07f,0xd72e55b1,0xcf1beb52,0x4aeaec65,0x7fa095f8,5081004fd1b9005f,5081004f40e80a4a,4,4;5;6;7,91;51;0a;15
787,2,-6,62,1,normal,00000000,eb41a4a482ec3562ce0983264bb0330d,0xa4a441eb,0x6235ec82,0x268309ce,0x0d33b04b,02a031000309a102,02a031000309a102,0,,
788,2,-6,62,1,normal,00000000,e7d96d3e2501934140a9b6e863135a2c,0x3e6dd9e7,0x41930125,0xe8b6a940,0x2c5a1363,210112002399fe44,210112002399fe44,0,,
789,2,-6,62,1,fault,00000000,b68f2480f971e48db3a88f33c7cba723,0x80248fb6,0x8de471f9,0x338fa8b3,0x23a7cbc7,c141a4018523a401,c141a401b1208401,3,4;5;6,34;03;20
790,2,-6,62,1,normal,00000000,8b17db19106c0b7ca6d31ef71d9dc535,0x19db178b,0x7c0b6c10,0xf71ed3a6,0x35c59d1d,100c01348b46d174,100c01348b46d174,0,,
791,2,-6,62,1,normal,00000000,ca0b763758b4838d7fa609ec15070502,0x37760bca,0x8d83b458,0xec09a67f,0x02050715,1004010012a505aa,1004010012a505aa,0,,
792,2,-6,62,1,fault,00000000,24a7038a3bd975b70997aadac35afc8d,0x8a03a724,0xb775d93b,0xdaaa9709,0x8dfc5ac3,0358748509142290,0358748509912092,3,5;6;7,85;02;02
793,2,-6,62,1,fault,00000000,1f302c694d52efd4be169ca884181d4e,0x692c301f,0xd4ef524d,0xa89c16be,0x4e1d1884,04100d4416128ce0,04100d440c128c80,2,4;7,1a;60
794,2,-6,62,1,normal,00000000,fb8fd29c86fe41f74117374e88d75511,0x9cd28ffb,0xf741fe86,0x4e371741,0x1155d788,80d64111c996435a,80d64111c996435a,0,,
795,2,-6,62,1,fault,00000000,e3d0eeb935a05c986ffecfb8920016f8,0xb9eed0e3,0x985ca035,0xb8cffe6f,0xf8160092,10001498c4708498,1000149825a04c98,3,4;5;6,e1;d0;c8
796,2,-6,62,1,fault,00000000,f7831b92068957871375843291c10e5c,0x921b83f7,0x87578906,0x32847513,0x5c0ec191,0081060480810e00,0081060402010402,4,4;5;6;7,82;80;0a;02
797,2,-6,62,1,normal,00000000,e96cf131f31e98103bdd46bbe143c80d,0x31f16ce9,0x10981ef3,0xbb46dd3b,0x0dc843e1,e1028800fb108020,e1028800fb108020,0,,
798,2,-6,62,1,normal,00000000,a9c121581d03846e74d50796b7e83dc1,0x5821c1a9,0x6e84031d,0x9607d574,0xc13de8b7,1500044095002456,1500044095002456,0,,
799,2,-6,62,1,fault,00000000,71e9a09bc7a719959f6a23f83a67d2bf,0x9ba0e971,0x9519a7c7,0xf8236a9f,0xbfd2673a,02271095a62ba193,0227109587220190,4,4;5;6;7,21;09;a0;03
800,2,-6,62,1,fault,00000000,82e58c2d9467895e8666c20ec7df9860,0x2d8ce582,0x5e896794,0x0ec26686,0x6098dfc7,8447884084c78822,844788408466800e,3,5;6;7,a1;08;2c
801,2,-6,62,1,fault,00000000,e1dd212516de1c52840e62ce45e4b60b,0x2521dde1,0x521cde16,0xce620e84,0x0bb6e445,04c41402c5c60047,04c41402040e0042,3,4;5;7,c1;c8;05
802,2,-6,62,1,fault,00000000,e7524203084e90bb0eb114b0d8d74c5b,0x034252e7,0xbb904e08,0xb014b10e,0x5b4cd7d8,0846001bce4250b3,0846001b080010b0,4,4;5;6;7,c6;42;40;03
803,2,-6,62,1,normal,00000000,aeeb1334d56f4434a5f7e9ff940d2984,0x3413ebae,0x34446fd5,0xffe9f7a5,0x84290d94,940d0004a58d4004,940d0004a58d4004,0,,
804,2,-6,62,1,fault,00000000,56dd4ae2915b082a72c8d7f870cbcc9a,0xe24add56,0x2a085b91,0xf8d7c872,0x9acccb70,104b080a12490a4a,104b080a10480028,4,4;5;6;7,02;01;0a;62
805,2,-6,62,1,fault,00000000,d485cee242360db355e1d695617d5200,0xe2ce85d4,0xb30d3642,0x95d6e155,0x00527d61,4034000054a48011,4034000040200491,4,4;5;6;7,14;84;84;80
806,2,-6,62,1,fault,00000000,9121eb713bb36b60317972fcb95850d0,0x71eb2191,0x606bb33b,0xfc727931,0xd05058b9,39104040b1104040,3910404031316260,4,4;5;6;7,80;21;22;20
807,2,-6,62,1,fault,00000000,1a565a5480d3ad10a6bc685c4d591e54,0x545a561a,0x10add380,0x5c68bca6,0x541e594d,00510c108ad47a10,00510c1080902810,3,4;5;6,0a;44;52
808,2,-6,62,1,fault,00000000,eaa2c742925d7d793ca8a9ef82facbea,0x42c7a2ea,0x797d5d92,0xefa9a83c,0xeacbfa82,82584968ba0a6b69,8258496810082969,3,4;5;6,aa;02;42
809,2,-6,62,1,normal,00000000,80f6ff8e67b86c94eda151e72d86e62a,0x8efff680,0x946cb867,0xe751a1ed,0x2ae6862d,25806400e586f708,25806400e586f708,0,,
810,2,-6,62,1,fault,00000000,cd950e04cdd14646288bb73d54abddf5,0x040e95cd,0x4646d1cd,0x3db78b28,0xf5ddab54,4481444444810c04,4481444408810604,2,4;6,4c;0a
811,2,-6,62,1,fault,00000000,b45b45afe09d141c246610f6a8590b9c,0xaf455bb4,0x1c149de0,0xf6106624,0x9c0b59a8,a019001ca41f113e,a019001c20041014,4,4;5;6;7,84;1b;01;2a
812,2,-6,62,1,fault,00000000,8e3fa9529141a326214206ed49c97b79,0x52a93f8e,0x26a34191,0xed064221,0x797bc949,01412320094b2b34,0141232001400224,4,4;5;6;7,08;0b;29;10
813,2,-6,62,1,fault,00000000,26ae03db9c5d0834015cef3919e74919,0xdb03ae26,0x34085d9c,0x39ef5c01,0x1949e719,1845081000f60a30,18450810005c0830,2,5;6,aa;02
814,2,-6,62,1,fault,00000000,f8c8bac5cb1776390c2bffcd04c7a43f,0xc5bac8f8,0x397617cb,0xcdff2b0c,0x3fa4c704,0007243900cb6cc9,0007243908037609,4,4;5;6;7,08;c8;1a;c0
815,2,-6,62,1,fault,00000000,4c7a53488658c1b762a4bf6a481f1800,0x48537a4c,0xb7c15886,0x6abfa462,0x00181f48,001800000a3a826a,0018000002008122,4,4;5;6;7,08;3a;03;48
816,2,-6,62,1,fault,00000000,5588844edc008a56b77bdd62821e0b7c,0x4e848855,0x568a00dc,0x62dd7bb7,0x7c0b1e82,80000a5481000c4c,80000a5494008842,3,4;6;7,15;84;0e
817,2,-6,62,1,fault,00000000,c38276c48684bb3f725fb9dfec531131,0xc47682c3,0x3fbb8486,0xdfb95f72,0x311153ec,84001131800499db,840011310204b91f,3,4;6;7,82;20;c4
818,2,-6,62,1,fault,00000000,ef3a6ad510e09eb7c8d4b1ceee9d92a6,0xd56a3aef,0xb79ee010,0xceb1d4c8,0xa6929dee,008092a626c8b2c6,008092a600c09086,4,4;5;6;7,26;08;22;40
819,2,-6,62,1,fault,00000000,a69eebc3dedc3d8b82236cf82ce7a853,0xc3eb9ea6,0x8b3ddcde,0xf86c2382,0x53a8e72c,0cc428032484ec0b,0cc42803a684c083,3,4;6;7,82;2c;88
820,2,-6,62,1,fault,00000000,9644f5cde37484d582bf04a8037e32a0,0xcdf54496,0xd58474e3,0xa804bf82,0xa0327e03,0374008002743088,e0008455e03ab67d,8,0;1;2;3;4;5;6;7,e3;74;84;d5;e2;4e;86;f5
821,2,-6,62,1,fault,00000000,9dc0ee6cf070792212c9460aed3a019b,0x6ceec09d,0x227970f0,0x0a46c912,0x9b013aed,e03001028d800602,e030010210404002,3,4;5;6,9d;c0;46
822,2,-6,62,1,fault,00000000,edbae8077306de246d7b89e325a6a071,0x07e8baed,0x24de0673,0xe3897b6d,0x71a0a625,21068020299aa022,2106802061028820,4,4;5;6;7,48;98;28;02
823,2,-6,62,1,normal,00000000,bca608c93fb8a1532e1d4342d76a1781,0xc908a6bc,0x53a1b83f,0x42431d2e,0x81176ad7,17280101963e0183,17280101963e0183,0,,
824,2,-6,62,1,normal,00000000,ceb0e4196a4de85e47760204cf1a23c6,0x19e4b0ce,0x5ee84d6a,0x04027647,0xc6231acf,4a082046ca642004,4a082046ca642004,0,,
825,2,-6,62,1,fault,00000000,f79398b484b8222d7c97db2f5eac15f3,0xb49893f7,0x2d22b884,0x2fdb977c,0xf315ac5e,04a8002126838ab9,04a800210490022d,4,4;5;6;7,22;13;88;94
826,2,-6,62,1,normal,00000000,4685a21eef8c0ec71bc66c64867ffcb5,0x1ea28546,0xc70e8cef,0x646cc61b,0xb5fc7f86,860c0c850f058c54,860c0c850f058c54,0,,
827,2,-6,62,1,fault,00000000,aa7ae230c2dc0e77b7e42a6793e62d06,0x30e27aaa,0x770edcc2,0x672ae4b7,0x062de693,82c40c06a2c60847,40180271559c0c57,8,0;1;2;3;4;5;6;7,c2;dc;0e;77;f7;5a;04;10
828,2,-6,62,1,fault,00000000,fd0d124aec282008176f686f1779abd6,0x4a120dfd,0x082028ec,0x6f686f17,0xd6ab7917,04282000042c2200,e8000008ee4a482d,8,0;1;2;3;4;5;6;7,ec;28;20;08;ea;66;6a;2d
829,2,-6,62,1,fault,00000000,3ef9abe8bb5c5322f0b7a51d5e09f88a,0xe8abf93e,0x22535cbb,0x1da5b7f0,0x8af8095e,1a0850029eac0880,1a085002b0140100,4,4;5;6;7,2e;b8;09;80
830,2,-6,62,1,fault,00000000,975d3130c8dd818c7892f166f45a1676,0x30315d97,0x8c81ddc8,0x66f19278,0x76165af4,c0580004ccd8a014,08858188640727de,8,0;1;2;3;4;5;6;7,c8;dd;81;8c;a8;df;87;ca
831,2,-6,62,1,fault,00000000,736f1acc7430d7128b7b107dbafadbdc,0xcc1a6f73,0x12d73074,0x7d107b8b,0xdcdbfaba,3030d31031311a90,3030d31000301010,4,4;5;6;7,31;01;0a;80
832,2,-6,62,1,fault,00000000,cc63adabd3c8c95f1b99ec44e9b474fe,0xabad63cc,0x5fc9c8d3,0x44ec991b,0xfe74b4e9,c180405ed3a940ee,c180405e1388c844,4,4;5;6;7,c0;21;88;aa
833,2,-6,62,1,fault,00000000,9c352239754aa97e2ef4e39696223665,0x3922359c,0x7ea94a75,0x96e3f42e,0x65362296,14022064bc54a127,140220642440a116,3,4;5;7,98;14;31
834,2,-6,62,1,fault,00000000,a8037097013e1a772289a3fe753c03c1,0x977003a8,0x771a3e01,0xfea38922,0xc1033c75,013c024100092261,013c024100080276,3,5;6;7,01;20;17
835,2,-6,62,1,fault,00000000,f7ded97dba0cde36e9b03e189654baf8,0x7dd9def7,0x36de0cba,0x183eb0e9,0xf8ba5496,92049a30dfc49e70,92049a30a8001e10,4,4;5;6;7,77;c4;80;60
836,2,-6,62,1,fault,00000000,603c9ca584918fc4f0ef1b3e31fcd4b0,0xa59c3c60,0xc48f9184,0x3e1beff0,0xb0d4fc31,00908480c0918780,0090848080810b04,4,4;5;6;7,40;10;8c;84
837,2,-6,62,1,normal,00000000,ee0ab7ef5ebdecf01c21f4624b5043c7,0xefb70aee,0xf0ecbd5e,0x62f4211c,0xc743504b,4a1040c05a2153c5,4a1040c05a2153c5,0,,
