trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
476,3,-6,62,5,fault,7062ec25,a21471772ff4f9fe69dfbf5a152ea3c9,0x777114a2,0xfef9f42f,0x5abfdf69,0xc9a32e15,75464ded79a6456c,0000000059b6557f,8,0;1;2;3;4;5;6;7,75;46;4d;ed;20;10;10;13
477,3,-6,62,5,fault,06a0c801,1a86497580ee7e311fe9dc53b652c80a,0x7549861a,0x317eee80,0x53dce91f,0x0ac852b6,86e280010eca9441,000000001f018042,8,0;1;2;3;4;5;6;7,86;e2;80;01;11;cb;14;03
478,3,-6,62,5,fault,ba366f33,6fb23b0d7fe1257508f9fb72cbf9e5e7,0x0d3bb26f,0x7525e17f,0x72fbf908,0xe7e5f9cb,f1d74a56f1d75446,000000000018da02,8,0;1;2;3;4;5;6;7,f1;d7;4a;56;f1;cf;8e;44
479,3,-6,62,5,fault,1e4f119f,e897b315bc78df0c6c0827fc244678c4,0x15b397e8,0x0cdf78bc,0xfc27086c,0xc4784624,3a0f499b7a410583,00000000400020f0,8,0;1;2;3;4;5;6;7,3a;0f;49;9b;3a;41;25;73
480,3,-6,62,5,fault,2c9755b5,5c49ab0d16890c01cf6448baa49507e2,0x0dab495c,0x010c8916,0xba4864cf,0xe20795a4,281651b562d656bd,00000000c96440ba,8,0;1;2;3;4;5;6;7,28;16;51;b5;ab;b2;16;07
481,3,-6,62,5,fault,05a2f61c,d6f920ddee5bffe1c20e54ded901975c,0xdd20f9d6,0xe1ff5bee,0xde540ec2,0x5c9701d9,cda3615cd5a1a25c,000000000004001e,8,0;1;2;3;4;5;6;7,cd;a3;61;5c;d5;a5;a2;42
482,3,-6,62,5,fault,3c53490c,15c5ada456863927380215cec2a4953a,0xa4adc515,0x27398656,0xce150238,0x3a95a4c2,7ed7582e3cd5d8ae,00000000280004c8,8,0;1;2;3;4;5;6;7,7e;d7;58;2e;14;d5;dc;66
483,3,-6,62,5,fault,295be6e4,6a35c130cdc23dd7d6429b73795edf91,0x30c1356a,0xd73dc2cd,0x739b42d6,0x91df5e79,6019fb75c70dbf97,0000000012008220,8,0;1;2;3;4;5;6;7,60;19;fb;75;d5;0d;3d;b7
484,3,-6,62,5,fault,85da6370,c15279098ce3d1828d472420199370e4,0x097952c1,0x82d1e38c,0x2024478d,0xe4709319,8d5933f089c93370,0000000001042420,8,0;1;2;3;4;5;6;7,8d;59;33;f0;88;cd;17;50
485,3,-6,62,5,fault,5015f324,dfeff6b28db5906d56dee504ae838a4b,0xb2f6efdf,0x6d90b58d,0x04e5de56,0x4b8a83ae,dc94736d8ccc1522,00000000524a6500,8,0;1;2;3;4;5;6;7,dc;94;73;6d;de;86;70;22
486,3,-6,62,5,fault,f2c0640a,b26dc6e3a23e71726ab8d28c08826bfb,0xe3c66db2,0x72713ea2,0x8cd2b86a,0xfb6b8208,f2c20578f2d0b469,000000004880828c,8,0;1;2;3;4;5;6;7,f2;c2;05;78;ba;50;36;e5
487,3,-6,62,5,fault,d37afdaf,29aac39df90fe4dfb68c34f2e4e39f32,0x9dc3aa29,0xdfe40ff9,0xf2348cb6,0x329fe3e4,337979bd635c5afd,0000000006801020,8,0;1;2;3;4;5;6;7,33;79;79;bd;65;dc;4a;dd
488,3,-6,62,5,fault,18c74ddc,b664232a770cde1a0a90468c5da17416,0x2a2364b6,0x1ade0c77,0x8c46900a,0x1674a15d,4dc719ce0ce729de,0000000008900084,8,0;1;2;3;4;5;6;7,4d;c7;19;ce;04;77;29;5a
489,3,-6,62,5,fault,5f18c9cd,58036697abcfa3258be3f5e8236e85c4,0x97660358,0x25a3cfab,0xe8f5e38b,0xc4856e23,7c5648c9dcda08e9,00000000002054c8,8,0;1;2;3;4;5;6;7,7c;56;48;c9;dc;fa;5c;21
490,3,-6,62,5,fault,2042e420,4e0a8aaeead9f27f87a6b07c1f55b27e,0xae8a0a4e,0x7ff2d9ea,0x7cb0a687,0x7eb2551f,2a13565eaac0565e,0000000005260000,8,0;1;2;3;4;5;6;7,2a;13;56;5e;af;e6;56;5e
491,3,-6,62,5,fault,1c001d0f,9d913ef372a4dd7e646ebd63940f73dc,0xf33e919d,0x7edda472,0x63bd6e64,0xdc730f94,0c044c53ec258ede,00000000044a2001,8,0;1;2;3;4;5;6;7,0c;04;4c;53;e8;6f;ae;df
492,3,-6,62,5,fault,27bbc29d,1ae3f11ee94b491c82edb955b7e7daba,0x1ef1e31a,0x1c494be9,0x55b9ed82,0xbadae7b7,86f88a85b7f0aa87,00000000a7f2cb89,8,0;1;2;3;4;5;6;7,86;f8;8a;85;10;02;61;0e
493,3,-6,62,5,fault,e18f6399,d50ca3b141d6a2ef446ce45fb944a7af,0xb1a30cd5,0xefa2d641,0x5fe46c44,0xafa744b9,e0cbc13674c3c066,0000000004284410,8,0;1;2;3;4;5;6;7,e0;cb;c1;36;70;eb;84;76
494,3,-6,62,5,fault,a8e5f196,193caac6e89144e3ffe9f6e33f3aabe1,0xc6aa3c19,0xe34491e8,0xe3f6e9ff,0xe1ab3a3f,80f5f1774074bd77,000000004064b575,7,0;1;2;3;5;6;7,80;f5;f1;77;10;08;02
495,3,-6,62,5,fault,9165f1e8,6e58455195723a38b875c1f4c86cebfd,0x5145586e,0x383a7295,0xf4c175b8,0xfdeb6cc8,1105dbd0610df1d9,000000002805c1c4,8,0;1;2;3;4;5;6;7,11;05;db;d0;49;08;30;1d
496,3,-6,62,5,fault,0bf328e9,f9126aa97e17979002dc48963cfd0ff6,0xa96a12f9,0x9097177e,0x9648dc02,0xf60ffd3c,37e62f7931e76a59,0000000009e72879,7,0;1;2;3;4;6;7,37;e6;2f;79;38;42;20
497,3,-6,62,5,fault,3ac02e33,8709cf3ede8ef2d6a74d7121ef2aced5,0x3ecf0987,0xd6f28ede,0x21714da7,0xd5ce2aef,f4caece7bccdd107,0000000021410121,8,0;1;2;3;4;5;6;7,f4;ca;ec;e7;9d;8c;d0;26
498,3,-6,62,5,fault,073ede4b,d09469c58c7025cbc35ebc517c07d4ef,0xc56994d0,0xcb25708c,0x51bc5ec3,0xefd4077c,0b3eda80177e928e,00000000430e9810,8,0;1;2;3;4;5;6;7,0b;3e;da;80;54;70;0a;9e
499,3,-6,62,5,fault,ef474a97,cbd798b3175106a06fba46021c782a2d,0xb398d7cb,0xa0065117,0x0246ba6f,0x2d2a781c,fb1748b7ab9544b4,0000000068aa4002,8,0;1;2;3;4;5;6;7,fb;17;48;b7;c3;3f;04;b6
500,3,-6,62,5,fault,b5d13098,cf60457024536ff74d1ad0c51a091c31,0x704560cf,0xf76f5324,0xc5d01a4d,0x311c091a,b5d03ca9f6c3342d,00000000b1c3705d,7,0;1;2;3;4;6;7,b5;d0;3c;a9;47;44;70
501,3,-6,62,5,fault,8bb99877,ed6be1fb9626aec410aec343a80403a5,0xfbe16bed,0xc4ae2696,0x43c3ae10,0xa50304a8,0bbd9af333b5dad5,0000000000884103,8,0;1;2;3;4;5;6;7,0b;bd;9a;f3;33;3d;9b;d6
