trial,width,offset,ext_offset,repeat,status,model_match,randomness_word_hex,randomness_bytes_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_hw_output,expected_sw_output,glitched_output,expected_fault_model_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex,expected_z0,expected_z1,glitched_z0,glitched_z1,model_fault_z0,model_fault_z1
22,-10,14,67,1,fault,other_fault,0x09916a9a,9a6a9109,0139bf138a37ae7a9bedc7eec96e95f9,0x13bf3901,0x7aae378a,0xeec7ed9b,0xf9956ec9,124c1571104e0570,124c1571104e0570,88268478032b9703,124c157101298702,8,0;1;2;3;4;5;6;7,9a;6a;91;09;13;65;92;73,0x71154c12,0x70054e10,0x78842688,0x03972b03,0x71154c12,0x02872901
23,-10,14,67,1,fault,other_fault,0x48d01708,0817d048,a9492864eeaa6d3104508a73f356e7af,0x642849a9,0x316daaee,0x738a5004,0xafe756f3,ea15b569ad17f03d,ea15b569ad17f03d,e202652147424d34,ea15b56900400860,8,0;1;2;3;4;5;6;7,08;17;d0;48;ea;55;bd;09,0x69b515ea,0x3df017ad,0x216502e2,0x344d4247,0x69b515ea,0x60084000
24,-10,14,67,1,fault,other_fault,0x83b0eb03,03ebb083,22535f5df05981cdd0c035d5bfa17a1c,0x5d5f5322,0xcd8159f0,0xd535c0d0,0x1c7aa1bf,b3eab08ff1eafe0f,b3eab08ff1eafe0f,b001000c42405bd5,b3eab08f00401555,8,0;1;2;3;4;5;6;7,03;eb;b0;83;b3;aa;a5;da,0x8fb0eab3,0x0ffeeaf1,0x0c0001b0,0xd55b4042,0x8fb0eab3,0x55154000
25,-10,14,67,1,fault,other_fault,0x9d57c4c4,c4c4579d,4981f3220e3dd22b58ed0b95bec05111,0x22f38149,0x2bd23d0e,0x950bed58,0x1151c0be,cac4079c8ce8079c,cac4079c8ce8079c,0e0050010ead0300,cac4079c48810300,8,0;1;2;3;4;5;6;7,c4;c4;57;9d;82;45;04;9c,0x9c07c4ca,0x9c07e88c,0x0150000e,0x0003ad0e,0x9c07c4ca,0x00038148
26,-10,14,67,1,fault,other_fault,0x984a8dca,ca8d4a98,2085869bc682bc0f2bbc3535334d1774,0x9b868520,0x0fbc82c6,0x3535bc2b,0x74174d33,c88d5e9cc88c7c9c,c88d5e9cc88c7c9c,0200140420852611,c88d5e9c20840411,8,0;1;2;3;4;5;6;7,ca;8d;4a;98;e8;09;5a;8d,0x9c5e8dc8,0x9c7c8cc8,0x04140002,0x11268520,0x9c5e8dc8,0x11048420
27,-10,14,67,1,fault,other_fault,0x7ae4839c,9c83e47a,363a8d91df50ddeaf2aecdc291b43997,0x918d3a36,0xeadd50df,0xc2cdaef2,0x9739b491,0d93fdf86c99ada9,0d93fdf86c99ada9,911019825320ddd1,0d93fdf8322a8d80,8,0;1;2;3;4;5;6;7,9c;83;e4;7a;3f;b9;70;78,0xf8fd930d,0xa9ad996c,0x82191091,0xd1dd2053,0xf8fd930d,0x808d2a32
28,-10,14,67,1,fault,other_fault,0xaaab989a,9a98abaa,9e6204d2d7085c83be94d53d2240e5ed,0xd204629e,0x835c08d7,0x3dd594be,0xede54022,9898ef2b90d8ff7b,9898ef2b90d8ff7b,0200448196401440,9898ef2b9e000410,8,0;1;2;3;4;5;6;7,9a;98;ab;aa;06;98;eb;3b,0x2bef9898,0x7bffd890,0x81440002,0x40144096,0x2bef9898,0x1004009e
29,-10,14,67,1,fault,other_fault,0x1ec687de,de87c61e,b376e48aa186ffc134ed964be7fb2d56,0x8ae476b3,0xc1ff86a1,0x4b96ed34,0x562dfbe7,7f05eb5e6d15f057,7f05eb5e6d15f057,a1822d4022749f03,7f05eb5e3064840a,8,0;1;2;3;4;5;6;7,de;87;c6;1e;4f;61;6f;54,0x5eeb057f,0x57f0156d,0x402d82a1,0x039f7422,0x5eeb057f,0x0a846430
30,-10,14,67,1,fault,other_fault,0x895eef5b,5bef5e89,baffe928b26ee49ae1391441a2c12d29,0x28e9ffba,0x9ae46eb2,0x411439e1,0x292dc1a2,f9af7a81f93f73a1,f9af7a81f93f73a1,a2402408a0a90920,f9af7a81a0390000,8,0;1;2;3;4;5;6;7,5b;ef;5e;89;59;96;7a;81,0x817aaff9,0xa1733ff9,0x082440a2,0x2009a9a0,0x817aaff9,0x000039a0
31,-10,14,67,1,fault,other_fault,0xc9526158,586152c9,6af2fcc2ab59528659e1429011949366,0xc2fcf26a,0x865259ab,0x9042e159,0x66939411,597140cf1950c08b,597140cf1950c08b,0110120608c1c0c4,597140cf48e04080,7,0;1;2;3;4;5;7,58;61;52;c9;11;91;4f,0xcf407159,0x8bc05019,0x06121001,0xc4c0c108,0xcf407159,0x8040e048
