trial,width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
146,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
147,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
148,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
149,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
150,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
151,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
152,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
153,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
154,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
155,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
156,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
157,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
158,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
159,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
160,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
161,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
162,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
163,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
164,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
165,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
166,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
167,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
168,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
169,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
170,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
171,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
172,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
173,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
174,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
175,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
176,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
177,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
178,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
179,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
180,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
181,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
182,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
183,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
184,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
185,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
186,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
187,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
188,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
189,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
190,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
191,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
192,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
193,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
194,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
195,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
196,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
197,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
198,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
199,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
200,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
201,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
202,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
203,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
204,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
205,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
